iter	RMSE
0	106.9707542
1	100.7700082
2	95.08568103
3	89.69842205
4	84.64014681
5	79.87981196
6	75.57000761
7	71.58436518
8	67.73057753
9	64.24155876
10	60.85709798
11	57.87001929
12	54.9115127
13	52.22726821
14	49.73364339
15	47.5252294
16	45.34744222
17	43.36133568
18	41.44338348
19	39.63014835
20	38.06977503
21	36.53619451
22	35.13945175
23	33.83762804
24	32.68980021
25	31.60712654
26	30.55929629
27	29.60935384
28	28.72997823
29	27.93134139
30	27.16159826
31	26.35715021
32	25.70968049
33	25.03794608
34	24.43236543
35	23.94054966
36	23.37667997
37	22.96160354
38	22.582898
39	22.18666589
40	21.84069418
41	21.53111797
42	21.19742296
43	20.84926323
44	20.52149211
45	20.20521722
46	19.83308744
47	19.56315285
48	19.27621362
49	18.95297711
50	18.66489347
51	18.41951277
52	18.23650831
53	18.04495566
54	17.79823691
55	17.63796429
56	17.46871014
57	17.30118064
58	17.09778982
59	16.89705841
60	16.73385812
61	16.61507598
62	16.46356303
63	16.28210174
64	16.16921282
65	16.07166801
66	15.93328574
67	15.81827507
68	15.71317792
69	15.63244897
70	15.52598713
71	15.38084438
72	15.24679457
73	15.15302392
74	15.0934591
75	15.02386845
76	14.93708008
77	14.8496619
78	14.78257442
79	14.65582057
80	14.53018677
81	14.38888309
82	14.34095676
83	14.25387971
84	14.16577881
85	14.07239684
86	13.96293796
87	13.84682749
88	13.77278596
89	13.72112978
90	13.66110715
91	13.59280166
92	13.52164838
93	13.39728712
94	13.32517283
95	13.23196991
96	13.12707163
97	13.08915521
98	13.01687649
99	12.94910131
100	12.85219615
101	12.78460163
102	12.71366206
103	12.68401527
104	12.60881945
105	12.56328727
106	12.51633744
107	12.44252982
108	12.36417337
109	12.30467142
110	12.24103513
111	12.21036537
112	12.15578738
113	12.11442187
114	12.06793631
115	12.02044916
116	11.96136204
117	11.85856078
118	11.81281337
119	11.75784374
120	11.66880216
121	11.58284705
122	11.51601931
123	11.42865987
124	11.31604479
125	11.23694955
126	11.18683957
127	11.14166776
128	11.06698566
129	11.01563789
130	10.96149781
131	10.9450041
132	10.90099177
133	10.79934988
134	10.70738031
135	10.66596196
136	10.63605875
137	10.57178941
138	10.56342987
139	10.51515032
140	10.48226697
141	10.44981733
142	10.37920047
143	10.34666542
144	10.28758841
145	10.26157059
146	10.1872161
147	10.11778881
148	10.06825688
149	10.0340719
150	9.974990428
151	9.921312694
152	9.87056475
153	9.829244681
154	9.779188265
155	9.71255687
156	9.67139786
157	9.607840823
158	9.565834778
159	9.537646957
160	9.482344884
161	9.456026949
162	9.414657255
163	9.378341339
164	9.363115956
165	9.338455781
166	9.288967786
167	9.233207882
168	9.202569051
169	9.154048005
170	9.117087442
171	9.070583023
172	9.022277835
173	8.989911282
174	8.929769586
175	8.887140144
176	8.838993849
177	8.803232095
178	8.769405945
179	8.751678537
180	8.718772097
181	8.678223195
182	8.627096911
183	8.599102337
184	8.563130243
185	8.533249384
186	8.512837417
187	8.471285907
188	8.435706154
189	8.406295125
190	8.360216035
191	8.332216209
192	8.289112684
193	8.27270933
194	8.248703979
195	8.196743588
196	8.160197284
