iter	Passed	Remaining
0	215	215084
1	223	111649
2	230	76462
3	237	59083
4	243	48496
5	251	41618
6	258	36658
7	265	32892
8	271	29889
9	277	27479
10	284	25578
11	292	24060
12	300	22807
13	308	21704
14	315	20731
15	322	19852
16	330	19113
17	338	18446
18	345	17856
19	353	17327
20	361	16842
21	368	16393
22	376	15980
23	383	15583
24	389	15182
25	395	14832
26	403	14548
27	409	14228
28	417	13968
29	423	13691
30	429	13433
31	435	13187
32	442	12953
33	448	12736
34	454	12526
35	462	12383
36	476	12390
37	488	12358
38	499	12297
39	512	12309
40	554	12964
41	576	13155
42	609	13575
43	655	14236
44	668	14187
45	675	14014
46	684	13888
47	692	13744
48	701	13605
49	709	13472
50	716	13332
51	726	13253
52	736	13154
53	743	13020
54	750	12894
55	757	12771
56	764	12651
57	771	12535
58	778	12423
59	786	12315
60	793	12209
61	800	12106
62	807	12007
63	814	11908
64	822	11827
65	834	11813
66	841	11722
67	848	11634
68	855	11548
69	862	11459
70	869	11377
71	877	11311
72	884	11235
73	891	11158
74	904	11159
75	913	11103
76	924	11084
77	933	11030
78	942	10984
79	949	10922
80	957	10858
81	964	10794
82	971	10728
83	978	10667
84	986	10614
85	992	10553
86	1000	10494
87	1012	10488
88	1020	10443
89	1028	10395
90	1038	10377
91	1045	10323
92	1055	10289
93	1062	10238
94	1070	10199
95	1077	10150
96	1086	10114
97	1093	10064
98	1101	10023
99	1108	9976
100	1115	9928
101	1123	9889
102	1130	9845
103	1139	9821
104	1147	9780
105	1158	9767
106	1166	9736
107	1173	9694
108	1182	9664
109	1189	9625
110	1196	9586
111	1204	9552
112	1212	9514
113	1220	9484
114	1228	9450
115	1239	9443
116	1246	9408
117	1254	9375
118	1261	9338
119	1269	9309
120	1276	9275
121	1285	9248
122	1292	9215
123	1301	9193
124	1308	9161
125	1317	9138
126	1324	9107
127	1333	9085
128	1342	9065
129	1350	9040
130	1358	9009
131	1366	8983
132	1373	8951
133	1381	8930
134	1388	8899
135	1397	8877
136	1404	8845
137	1412	8824
138	1419	8793
139	1428	8772
140	1434	8741
141	1443	8722
142	1453	8709
143	1461	8690
144	1469	8662
145	1477	8639
146	1484	8611
147	1493	8600
148	1501	8573
149	1509	8556
150	1518	8540
151	1527	8523
152	1534	8496
153	1543	8478
154	1551	8458
155	1560	8441
156	1567	8415
157	1575	8397
158	1584	8382
159	1594	8369
160	1601	8345
161	1609	8327
162	1616	8302
163	1625	8284
164	1632	8260
165	1640	8241
166	1647	8217
167	1657	8207
168	1667	8199
169	1677	8188
170	1684	8165
171	1692	8149
172	1699	8125
173	1708	8108
174	1715	8086
175	1727	8086
176	1736	8074
177	1743	8053
178	1751	8035
179	1759	8013
180	1768	8003
181	1776	7985
182	1785	7970
183	1792	7948
184	1799	7928
185	1808	7912
186	1815	7893
187	1822	7873
188	1829	7852
189	1837	7832
190	1844	7811
191	1851	7791
192	1858	7771
193	1865	7749
194	1872	7728
195	1881	7717
196	1889	7700
197	1896	7680
198	1903	7661
199	1910	7640
200	1917	7622
201	1924	7604
202	1931	7584
203	1938	7564
204	1945	7545
205	1952	7526
206	1959	7507
207	1966	7488
208	1973	7469
209	1982	7459
210	1989	7440
211	1998	7426
212	2004	7407
213	2012	7391
214	2021	7381
215	2030	7371
216	2040	7363
217	2050	7354
