iter	RMSE
0	106.9774067
1	100.8763
2	95.05032019
3	89.67145764
4	84.65384171
5	79.93132688
6	75.52787375
7	71.45113149
8	67.69978994
9	64.12671215
10	60.78936866
11	57.68589778
12	54.91772436
13	52.24964376
14	49.67356488
15	47.2963183
16	45.17127406
17	43.20271842
18	41.29539556
19	39.51539273
20	37.8684451
21	36.4972311
22	35.01575883
23	33.74399088
24	32.45997674
25	31.33653973
26	30.24231591
27	29.30336585
28	28.43111374
29	27.6486996
30	26.81676452
31	26.08206781
32	25.42295154
33	24.84612513
34	24.18418592
35	23.68897739
36	23.24577107
37	22.73736391
38	22.2289064
39	21.74709498
40	21.38180383
41	21.07128552
42	20.78146982
43	20.46962148
44	20.19208207
45	19.93716284
46	19.67065666
47	19.4180774
48	19.21445842
49	18.99961331
50	18.67499802
51	18.46367891
52	18.14630739
53	17.94386787
54	17.66822247
55	17.41780157
56	17.25846143
57	17.14048797
58	16.90504619
59	16.71522733
60	16.54514619
61	16.38368881
62	16.28247631
63	16.17928738
64	16.01802474
65	15.93776127
66	15.85202834
67	15.7200513
68	15.6358723
69	15.53691614
70	15.45104868
71	15.37868131
72	15.3637422
73	15.28826695
74	15.17892801
75	15.10717778
76	14.97771979
77	14.7981119
78	14.74159699
79	14.57105107
80	14.50550303
81	14.46233261
82	14.40402135
83	14.30719348
84	14.24834926
85	14.19425219
86	14.1484158
87	14.07475134
88	13.93402114
89	13.8732572
90	13.8045109
91	13.71235618
92	13.64241878
93	13.56626359
94	13.42779149
95	13.37287268
96	13.34196443
97	13.29563562
98	13.24980899
99	13.19759278
100	13.13096717
101	13.07110389
102	12.99860015
103	12.88897945
104	12.83465072
105	12.76479886
106	12.6768058
107	12.63519082
108	12.52435507
109	12.49196673
110	12.40478601
111	12.35864591
112	12.26745438
113	12.13188995
114	12.02680083
115	11.9521919
116	11.88209701
117	11.81400441
118	11.7521749
119	11.67239915
120	11.60640594
121	11.49997605
122	11.45038822
123	11.38618063
124	11.35447316
125	11.30539766
126	11.2573781
127	11.21580501
128	11.15446176
129	11.09477837
130	11.00803878
131	10.96121379
132	10.89015981
133	10.83035065
134	10.79501652
135	10.73245123
136	10.64840342
137	10.58456145
138	10.54798949
139	10.52094982
140	10.48494664
141	10.44264327
142	10.41080058
143	10.33273297
144	10.29757087
145	10.27461604
146	10.22362848
147	10.15943623
148	10.10112006
149	10.04941881
150	10.02726587
151	9.964528783
152	9.89951398
153	9.863397448
154	9.795598848
155	9.763019453
156	9.708625916
157	9.67668571
158	9.615281104
159	9.556710435
160	9.528090299
161	9.47926577
162	9.443693799
163	9.373972294
164	9.338559763
165	9.318759751
166	9.29349362
167	9.254802104
168	9.227266558
169	9.190750141
170	9.138735818
171	9.090871277
172	9.068915521
173	9.015925304
174	8.963720801
175	8.930186334
176	8.887258728
177	8.821526651
178	8.791130696
179	8.761643322
180	8.722431708
181	8.682141101
182	8.655878989
183	8.621318503
184	8.561666519
185	8.553969207
186	8.505000393
187	8.484931032
188	8.462586089
189	8.427051675
190	8.389597159
191	8.35122506
192	8.311913736
193	8.293421229
194	8.281206387
195	8.238065021
196	8.208550967
197	8.175589128
198	8.150003817
199	8.105857158
200	8.072869794
201	8.033809239
202	8.015346953
203	7.982072829
204	7.944451129
205	7.905996571
206	7.900341505
207	7.868105567
208	7.851375673
209	7.801647136
210	7.763198809
211	7.740588286
212	7.712750076
213	7.684499024
214	7.66532334
215	7.624713331
216	7.619621907
217	7.613151664
218	7.574185561
219	7.554617855
220	7.523694219
221	7.505797804
222	7.489381338
223	7.46112161
224	7.432308935
225	7.398492182
226	7.368185998
227	7.355245033
228	7.329553182
229	7.306599898
230	7.30013534
231	7.267803952
232	7.255855353
233	7.229065711
234	7.217592748
235	7.192330783
236	7.16002396
237	7.152516356
238	7.149616393
239	7.121016403
240	7.099262109
241	7.074859637
242	7.061586005
243	7.041005331
244	7.017304177
245	7.002411506
246	6.982981981
247	6.95722233
248	6.951647983
249	6.931253252
250	6.903184013
251	6.889358454
252	6.865839396
253	6.851804123
254	6.832285754
255	6.812864583
256	6.808979351
257	6.796481204
258	6.75909555
259	6.75049944
260	6.724690814
261	6.713737418
262	6.692520675
263	6.67955957
264	6.65893541
265	6.655038976
266	6.636042132
267	6.612348798
268	6.606134911
269	6.587464035
270	6.569178672
271	6.556344889
272	6.52039356
273	6.498851021
274	6.475818397
275	6.458088727
276	6.44703213
277	6.436064893
278	6.416718723
279	6.402037602
280	6.37895813
281	6.373278507
282	6.358757566
283	6.351678208
284	6.347341868
285	6.33658444
286	6.326493324
287	6.311620106
288	6.289820191
289	6.285739946
290	6.280893262
291	6.25826986
292	6.241029813
293	6.225403287
294	6.213419634
295	6.197016566
296	6.194267038
297	6.183439336
298	6.168114116
299	6.1482863
300	6.14128386
301	6.125433472
302	6.105651376
303	6.101025805
304	6.083038431
305	6.06275516
306	6.049023109
307	6.035313459
308	6.031991161
309	6.021160994
310	6.003362111
311	5.990407818
312	5.980576195
313	5.963764689
314	5.952281885
315	5.934989973
316	5.928466703
317	5.922909378
318	5.915923228
319	5.896969513
320	5.891227487
321	5.885296285
322	5.871872701
323	5.860593281
324	5.851900685
325	5.845807774
326	5.815911428
327	5.809889772
328	5.802281809
329	5.792219286
330	5.778349145
331	5.761637851
332	5.754391575
333	5.739843025
334	5.738729068
335	5.713672247
336	5.705550489
337	5.697667286
338	5.69368373
339	5.67984644
340	5.670428894
341	5.662726741
342	5.656906053
343	5.653743799
344	5.647093621
345	5.638313923
346	5.625247109
347	5.600326616
348	5.593482296
349	5.591021658
350	5.583840011
351	5.580873535
352	5.568632151
353	5.548514528
354	5.541832002
355	5.528923745
356	5.519036156
357	5.505298298
358	5.491683042
359	5.488704005
360	5.477078699
361	5.470179667
362	5.463473998
363	5.452228794
364	5.440007801
365	5.438079764
366	5.427706881
367	5.421287194
368	5.416349748
369	5.399683338
370	5.396435263
371	5.387449331
372	5.376603527
373	5.368277377
374	5.360930612
375	5.344743221
376	5.33276695
377	5.32591468
378	5.32102382
379	5.315948428
380	5.311015185
381	5.301962076
382	5.300284504
383	5.296822103
384	5.292230445
385	5.290078703
386	5.288519586
387	5.280408435
388	5.276799453
389	5.275929984
390	5.263702028
391	5.258113481
392	5.247913388
393	5.238878118
394	5.228214263
395	5.221982215
396	5.207303711
397	5.201031536
398	5.193317791
399	5.188804213
400	5.180754416
401	5.163622135
402	5.156335699
403	5.153358777
404	5.14762517
405	5.146908565
406	5.136892509
407	5.135620089
408	5.134742784
409	5.133370996
410	5.13053285
411	5.127530509
412	5.12521057
413	5.120705378
414	5.113389292
415	5.110949609
416	5.106876963
417	5.09673646
418	5.091644146
419	5.085530364
420	5.08402427
421	5.079601449
422	5.075665534
423	5.072988883
424	5.069313583
425	5.067557489
426	5.06411465
427	5.062546031
428	5.061774992
429	5.059340624
430	5.05621135
431	5.055634517
432	5.052433594
433	5.044567897
434	5.035117111
435	5.034180622
436	5.025443878
437	5.0167607
438	5.014373293
439	5.012004377
440	5.008673596
441	5.00476301
442	4.987666959
443	4.984557534
444	4.983917607
445	4.980333961
446	4.976964593
447	4.968740696
448	4.963400213
449	4.962730272
450	4.958854734
451	4.948427983
452	4.947412581
453	4.943977217
454	4.942347196
455	4.938926615
456	4.931988877
457	4.928588945
458	4.92233643
459	4.921817002
460	4.918967191
461	4.913302199
462	4.912503432
463	4.912000254
464	4.9063651
465	4.902895859
466	4.899498472
467	4.893300775
468	4.888691042
469	4.881250855
470	4.863339416
471	4.860211041
472	4.857458928
473	4.853943124
474	4.84646548
475	4.8456718
476	4.842994935
477	4.840298548
478	4.832629165
479	4.831850155
480	4.825213096
481	4.818090887
482	4.809336854
483	4.801720148
484	4.800195819
485	4.788054247
486	4.77972395
487	4.771169447
488	4.766861705
489	4.765067969
490	4.757568529
491	4.745525901
492	4.743920405
493	4.741790972
494	4.734589364
495	4.734130254
496	4.726981911
497	4.716531284
498	4.71004844
499	4.706876558
500	4.701617364
501	4.698023674
502	4.691816114
503	4.68514981
504	4.68364655
505	4.678797725
506	4.676507279
507	4.673677163
508	4.671887269
509	4.670994838
510	4.665461484
511	4.659473492
512	4.656886488
513	4.656057526
514	4.653484275
515	4.651705909
516	4.643974528
517	4.642767965
518	4.63980307
519	4.637274561
520	4.632301697
521	4.631087795
522	4.629181411
523	4.626309422
524	4.623585431
525	4.616350764
526	4.608338363
527	4.602703594
528	4.600674821
529	4.599947197
530	4.595199131
531	4.593211764
532	4.591676481
533	4.583998594
534	4.579968931
535	4.572494094
536	4.568224836
537	4.560582587
538	4.557519052
539	4.554956362
540	4.548283213
541	4.540419609
542	4.538872526
543	4.535435054
544	4.527805571
545	4.525303312
546	4.515874833
547	4.507312981
548	4.501267338
549	4.496758258
550	4.488266297
551	4.487852907
552	4.477149311
553	4.471919235
554	4.460379707
555	4.459675834
556	4.454359588
557	4.453558523
558	4.451064991
559	4.447182237
560	4.444623769
561	4.438986568
562	4.437470851
563	4.433946393
564	4.43003586
565	4.429593534
566	4.426014868
567	4.42458569
568	4.415374727
569	4.409754674
570	4.405732702
571	4.395827574
572	4.393853383
573	4.3901001
574	4.381188314
575	4.374876095
576	4.372959482
577	4.365744737
578	4.363932707
579	4.358512388
580	4.351986168
581	4.343917036
582	4.336498265
583	4.33170514
584	4.326355233
585	4.324214635
586	4.317172932
587	4.314686157
588	4.308835643
589	4.305807147
590	4.301588622
591	4.292749969
592	4.287281049
593	4.284099227
594	4.280768102
595	4.271340103
596	4.269234481
597	4.265232656
598	4.263415884
599	4.258536632
600	4.255806958
601	4.254505356
602	4.247559147
603	4.244388196
604	4.23975383
605	4.23428432
606	4.230036689
607	4.224909693
608	4.220690457
609	4.219416365
610	4.215699078
611	4.210464883
612	4.206854
613	4.205810329
614	4.201545143
615	4.199191628
616	4.197634768
617	4.191600139
618	4.188244531
619	4.184523691
620	4.176683355
621	4.173892401
622	4.170783017
623	4.169589936
624	4.168119771
625	4.166353796
626	4.162007298
627	4.160338874
628	4.153649717
629	4.150782184
630	4.146600975
631	4.145418194
632	4.144488565
633	4.136915825
634	4.132791029
635	4.129896791
636	4.128753458
637	4.126890742
638	4.125117021
639	4.121283983
640	4.120035758
641	4.117933138
642	4.115076591
643	4.111417885
644	4.106993483
645	4.106186358
646	4.101905835
647	4.099595253
648	4.094680412
649	4.093698036
650	4.089536668
651	4.083060404
652	4.081961014
653	4.077996785
654	4.074491117
655	4.072778394
656	4.070622209
657	4.068071597
658	4.064583845
659	4.062377785
660	4.058095168
